t,spread,abs_imb,l1_ask_size,l1_bid_size,l1_imbalance,traded_quantity,qty_cancelled,qty_modification,qty_submission,qty_aggressive,var_imb,d_imb,d_mid_price
2021-06-01 09:00:30+02:00,0.010000000000000231,0.005681818181818182,354.0,350.0,0.005681818181818182,0.0,0.0,0.0,4100.5,0.0,0.0,0.0,0.0
2021-06-01 09:00:35+02:00,,,,,,,,,,,,,
2021-06-01 09:00:40+02:00,,,,,,,,,,,,,
2021-06-01 09:00:45+02:00,,,,,,,,,,,,,
2021-06-01 09:00:50+02:00,,,,,,,,,,,,,
2021-06-01 09:00:55+02:00,,,,,,,,,,,,,
2021-06-01 09:01:00+02:00,,,,,,,,,,,,,
2021-06-01 09:01:05+02:00,,,,,,,,,,,,,
2021-06-01 09:01:10+02:00,,,,,,,,,,,,,
2021-06-01 09:01:15+02:00,,,,,,,,,,,,,
2021-06-01 09:01:20+02:00,,,,,,,,,,,,,
2021-06-01 09:01:25+02:00,,,,,,,,,,,,,
2021-06-01 09:01:30+02:00,,,,,,,,,,,,,
2021-06-01 09:01:35+02:00,,,,,,,,,,,,,
2021-06-01 09:01:40+02:00,,,,,,,,,,,,,
2021-06-01 09:01:45+02:00,,,,,,,,,,,,,
2021-06-01 09:01:50+02:00,,,,,,,,,,,,,
2021-06-01 09:01:55+02:00,,,,,,,,,,,,,
2021-06-01 09:02:00+02:00,,,,,,,,,,,,,
2021-06-01 09:02:05+02:00,,,,,,,,,,,,,
2021-06-01 09:02:10+02:00,,,,,,,,,,,,,
2021-06-01 09:02:15+02:00,,,,,,,,,,,,,
2021-06-01 09:02:20+02:00,,,,,,,,,,,,,
2021-06-01 09:02:25+02:00,,,,,,,,,,,,,
2021-06-01 09:02:30+02:00,,,,,,,,,,,,,
2021-06-01 09:02:35+02:00,,,,,,,,,,,,,
2021-06-01 09:02:40+02:00,,,,,,,,,,,,,
2021-06-01 09:02:45+02:00,,,,,,,,,,,,,
2021-06-01 09:02:50+02:00,,,,,,,,,,,,,
2021-06-01 09:02:55+02:00,,,,,,,,,,,,,
2021-06-01 09:03:00+02:00,,,,,,,,,,,,,
2021-06-01 09:03:05+02:00,,,,,,,,,,,,,
2021-06-01 09:03:10+02:00,,,,,,,,,,,,,
2021-06-01 09:03:15+02:00,,,,,,,,,,,,,
2021-06-01 09:03:20+02:00,,,,,,,,,,,,,
2021-06-01 09:03:25+02:00,,,,,,,,,,,,,
2021-06-01 09:03:30+02:00,,,,,,,,,,,,,
2021-06-01 09:03:35+02:00,,,,,,,,,,,,,
