t,spread,abs_imb,l1_ask_size,l1_bid_size,l1_imbalance,traded_quantity,qty_cancelled,qty_modification,qty_submission,qty_aggressive,var_imb,d_imb,d_mid_price
2021-06-01 09:14:50+02:00,0.07499999999999973,0.3333333333333333,350.0,150.0,0.3333333333333333,0.0,200.0,0.0,100.0,0.0,,5.377426734309133,0.04033070050731765
2021-06-01 09:14:55+02:00,,,,,,,,,,,,,
2021-06-01 09:15:00+02:00,,,,,,,,,,,,,
2021-06-01 09:15:05+02:00,,,,,,,,,,,,,
2021-06-01 09:15:10+02:00,,,,,,,,,,,,,
2021-06-01 09:15:15+02:00,,,,,,,,,,,,,
2021-06-01 09:15:20+02:00,,,,,,,,,,,,,
2021-06-01 09:15:25+02:00,,,,,,,,,,,,,
2021-06-01 09:15:30+02:00,,,,,,,,,,,,,
2021-06-01 09:15:35+02:00,,,,,,,,,,,,,
2021-06-01 09:15:40+02:00,,,,,,,,,,,,,
2021-06-01 09:15:45+02:00,,,,,,,,,,,,,
2021-06-01 09:15:50+02:00,,,,,,,,,,,,,
2021-06-01 09:15:55+02:00,,,,,,,,,,,,,
2021-06-01 09:16:00+02:00,,,,,,,,,,,,,
2021-06-01 09:16:05+02:00,,,,,,,,,,,,,
2021-06-01 09:16:10+02:00,,,,,,,,,,,,,
2021-06-01 09:16:15+02:00,,,,,,,,,,,,,
2021-06-01 09:16:20+02:00,,,,,,,,,,,,,
2021-06-01 09:16:25+02:00,,,,,,,,,,,,,
2021-06-01 09:16:30+02:00,,,,,,,,,,,,,
2021-06-01 09:16:35+02:00,,,,,,,,,,,,,
2021-06-01 09:16:40+02:00,,,,,,,,,,,,,
2021-06-01 09:16:45+02:00,,,,,,,,,,,,,
2021-06-01 09:16:50+02:00,,,,,,,,,,,,,
2021-06-01 09:16:55+02:00,,,,,,,,,,,,,
2021-06-01 09:17:00+02:00,,,,,,,,,,,,,
2021-06-01 09:17:05+02:00,,,,,,,,,,,,,
2021-06-01 09:17:10+02:00,,,,,,,,,,,,,
2021-06-01 09:17:15+02:00,,,,,,,,,,,,,
2021-06-01 09:17:20+02:00,,,,,,,,,,,,,
2021-06-01 09:17:25+02:00,,,,,,,,,,,,,
2021-06-01 09:17:30+02:00,,,,,,,,,,,,,
2021-06-01 09:17:35+02:00,,,,,,,,,,,,,
2021-06-01 09:17:40+02:00,,,,,,,,,,,,,
2021-06-01 09:17:45+02:00,,,,,,,,,,,,,
2021-06-01 09:17:50+02:00,,,,,,,,,,,,,
2021-06-01 09:17:55+02:00,,,,,,,,,,,,,
2021-06-01 09:18:00+02:00,,,,,,,,,,,,,
2021-06-01 09:18:05+02:00,,,,,,,,,,,,,
2021-06-01 09:18:10+02:00,,,,,,,,,,,,,
2021-06-01 09:18:15+02:00,,,,,,,,,,,,,
2021-06-01 09:18:20+02:00,,,,,,,,,,,,,
2021-06-01 09:18:25+02:00,,,,,,,,,,,,,
2021-06-01 09:18:30+02:00,,,,,,,,,,,,,
2021-06-01 09:18:35+02:00,,,,,,,,,,,,,
2021-06-01 09:18:40+02:00,0.0600000000000005,0.6,50.0,200.0,-0.6,0.0,200.0,0.0,1176.0,0.0,,0.0012945374833328298,2.157562472221337e-05
2021-06-01 09:18:45+02:00,,,,,,,,,,,,,
2021-06-01 09:18:50+02:00,,,,,,,,,,,,,
2021-06-01 09:18:55+02:00,,,,,,,,,,,,,
2021-06-01 09:19:00+02:00,,,,,,,,,,,,,
2021-06-01 09:19:05+02:00,,,,,,,,,,,,,
2021-06-01 09:19:10+02:00,,,,,,,,,,,,,
2021-06-01 09:19:15+02:00,,,,,,,,,,,,,
2021-06-01 09:19:20+02:00,,,,,,,,,,,,,
2021-06-01 09:19:25+02:00,,,,,,,,,,,,,
2021-06-01 09:19:30+02:00,,,,,,,,,,,,,
2021-06-01 09:19:35+02:00,,,,,,,,,,,,,
2021-06-01 09:19:40+02:00,,,,,,,,,,,,,
2021-06-01 09:19:45+02:00,,,,,,,,,,,,,
2021-06-01 09:19:50+02:00,,,,,,,,,,,,,
2021-06-01 09:19:55+02:00,,,,,,,,,,,,,
2021-06-01 09:20:00+02:00,,,,,,,,,,,,,
2021-06-01 09:20:05+02:00,0.0600000000000005,0.6,50.0,200.0,-0.6,0.0,0.0,0.0,1346.3333333333333,0.0,0.0,0.0,0.0
2021-06-01 09:20:10+02:00,,,,,,,,,,,,,
2021-06-01 09:20:15+02:00,,,,,,,,,,,,,
2021-06-01 09:20:20+02:00,,,,,,,,,,,,,
2021-06-01 09:20:25+02:00,,,,,,,,,,,,,
2021-06-01 09:20:30+02:00,,,,,,,,,,,,,
2021-06-01 09:20:35+02:00,,,,,,,,,,,,,
2021-06-01 09:20:40+02:00,0.07000000000000028,0.6,50.0,200.0,-0.6,0.0,50.0,0.0,1931.0,0.0,0.0,0.0,0.000144233542952746
2021-06-01 09:20:45+02:00,,,,,,,,,,,,,
2021-06-01 09:20:50+02:00,,,,,,,,,,,,,
2021-06-01 09:20:55+02:00,,,,,,,,,,,,,
2021-06-01 09:21:00+02:00,,,,,,,,,,,,,
2021-06-01 09:21:05+02:00,,,,,,,,,,,,,
2021-06-01 09:21:10+02:00,,,,,,,,,,,,,
2021-06-01 09:21:15+02:00,,,,,,,,,,,,,
2021-06-01 09:21:20+02:00,,,,,,,,,,,,,
2021-06-01 09:21:25+02:00,,,,,,,,,,,,,
2021-06-01 09:21:30+02:00,,,,,,,,,,,,,
2021-06-01 09:21:35+02:00,,,,,,,,,,,,,
2021-06-01 09:21:40+02:00,,,,,,,,,,,,,
2021-06-01 09:21:45+02:00,,,,,,,,,,,,,
2021-06-01 09:21:50+02:00,,,,,,,,,,,,,
2021-06-01 09:21:55+02:00,,,,,,,,,,,,,
2021-06-01 09:22:00+02:00,,,,,,,,,,,,,
2021-06-01 09:22:05+02:00,,,,,,,,,,,,,
2021-06-01 09:22:10+02:00,,,,,,,,,,,,,
2021-06-01 09:22:15+02:00,,,,,,,,,,,,,
2021-06-01 09:22:20+02:00,,,,,,,,,,,,,
2021-06-01 09:22:25+02:00,,,,,,,,,,,,,
2021-06-01 09:22:30+02:00,,,,,,,,,,,,,
