t,spread,abs_imb,l1_ask_size,l1_bid_size,l1_imbalance,traded_quantity,qty_cancelled,qty_modification,qty_submission,qty_aggressive,var_imb,d_imb,d_mid_price
2021-06-01 09:01:00+02:00,1.0,0.33217446270543616,75.0,37.6,0.33217446270543616,0.0,12.0,0.8,77.0,0.0,0.027150886664161007,0.039378557221873056,0.0
2021-06-01 09:01:05+02:00,,,,,,,,,,,,,
2021-06-01 09:01:10+02:00,,,,,,,,,,,,,
2021-06-01 09:01:15+02:00,1.0,0.3392857142857143,75.0,37.0,0.3392857142857143,0.0,15.0,2.0,310.42857142857144,0.0,0.0,0.0,0.0
2021-06-01 09:01:20+02:00,,,,,,,,,,,,,
2021-06-01 09:01:25+02:00,,,,,,,,,,,,,
2021-06-01 09:01:30+02:00,,,,,,,,,,,,,
2021-06-01 09:01:35+02:00,,,,,,,,,,,,,
2021-06-01 09:01:40+02:00,,,,,,,,,,,,,
2021-06-01 09:01:45+02:00,,,,,,,,,,,,,
2021-06-01 09:01:50+02:00,,,,,,,,,,,,,
2021-06-01 09:01:55+02:00,,,,,,,,,,,,,
2021-06-01 09:02:00+02:00,1.0,0.3274336283185841,75.0,38.0,0.3274336283185841,0.0,15.0,2.0,695.0,0.0,0.03493246390312065,0.00026879745009707255,0.0
2021-06-01 09:02:05+02:00,,,,,,,,,,,,,
2021-06-01 09:02:10+02:00,,,,,,,,,,,,,
2021-06-01 09:02:15+02:00,,,,,,,,,,,,,
2021-06-01 09:02:20+02:00,,,,,,,,,,,,,
2021-06-01 09:02:25+02:00,,,,,,,,,,,,,
2021-06-01 09:02:30+02:00,,,,,,,,,,,,,
2021-06-01 09:02:35+02:00,,,,,,,,,,,,,
2021-06-01 09:02:40+02:00,,,,,,,,,,,,,
2021-06-01 09:02:45+02:00,,,,,,,,,,,,,
2021-06-01 09:02:50+02:00,,,,,,,,,,,,,
2021-06-01 09:02:55+02:00,,,,,,,,,,,,,
2021-06-01 09:03:00+02:00,1.0,0.3392857142857143,75.0,37.0,0.3392857142857143,0.0,15.0,3.0,695.0,0.0,0.036196911196911215,0.00019883381370168805,0.0
2021-06-01 09:03:05+02:00,,,,,,,,,,,,,
2021-06-01 09:03:10+02:00,1.0,0.17777777777777778,53.0,37.0,0.17777777777777778,0.0,15.0,8.0,695.0,0.0,0.4760233918128655,0.015912111971225273,0.0
2021-06-01 09:03:15+02:00,,,,,,,,,,,,,
2021-06-01 09:03:20+02:00,,,,,,,,,,,,,
2021-06-01 09:03:25+02:00,,,,,,,,,,,,,
2021-06-01 09:03:30+02:00,,,,,,,,,,,,,
2021-06-01 09:03:35+02:00,,,,,,,,,,,,,
2021-06-01 09:03:40+02:00,,,,,,,,,,,,,
2021-06-01 09:03:45+02:00,,,,,,,,,,,,,
2021-06-01 09:03:50+02:00,,,,,,,,,,,,,
2021-06-01 09:03:55+02:00,,,,,,,,,,,,,
2021-06-01 09:04:00+02:00,,,,,,,,,,,,,
2021-06-01 09:04:05+02:00,,,,,,,,,,,,,
2021-06-01 09:04:10+02:00,,,,,,,,,,,,,
2021-06-01 09:04:15+02:00,,,,,,,,,,,,,
2021-06-01 09:04:20+02:00,,,,,,,,,,,,,
2021-06-01 09:04:25+02:00,,,,,,,,,,,,,
2021-06-01 09:04:30+02:00,,,,,,,,,,,,,
2021-06-01 09:04:35+02:00,,,,,,,,,,,,,
2021-06-01 09:04:40+02:00,,,,,,,,,,,,,
2021-06-01 09:04:45+02:00,,,,,,,,,,,,,
2021-06-01 09:04:50+02:00,,,,,,,,,,,,,
2021-06-01 09:04:55+02:00,,,,,,,,,,,,,
2021-06-01 09:05:00+02:00,1.0,0.17777777777777778,53.0,37.0,0.17777777777777778,0.0,263.0,8.0,920.0,0.0,0.0,0.0,0.0
2021-06-01 09:05:05+02:00,,,,,,,,,,,,,
2021-06-01 09:05:10+02:00,,,,,,,,,,,,,
2021-06-01 09:05:15+02:00,,,,,,,,,,,,,
2021-06-01 09:05:20+02:00,,,,,,,,,,,,,
2021-06-01 09:05:25+02:00,1.0,0.17777777777777778,53.0,37.0,0.17777777777777778,0.0,343.0,8.0,1084.0,0.0,0.0,0.0,0.0
2021-06-01 09:05:30+02:00,,,,,,,,,,,,,
2021-06-01 09:05:35+02:00,1.0,0.17777777777777778,53.0,37.0,0.17777777777777778,0.0,423.0,8.0,1164.0,0.0,0.0,0.0,0.0
2021-06-01 09:05:40+02:00,,,,,,,,,,,,,
2021-06-01 09:05:45+02:00,,,,,,,,,,,,,
2021-06-01 09:05:50+02:00,,,,,,,,,,,,,
2021-06-01 09:05:55+02:00,,,,,,,,,,,,,
2021-06-01 09:06:00+02:00,,,,,,,,,,,,,
2021-06-01 09:06:05+02:00,,,,,,,,,,,,,
