t,spread,abs_imb,l1_ask_size,l1_bid_size,l1_imbalance,traded_quantity,qty_cancelled,qty_modification,qty_submission,qty_aggressive,var_imb,d_imb,d_mid_price
2021-06-01 09:04:35+02:00,0.040000000000000924,0.3970435617849163,200.0,376.0,-0.2050020392935668,25.0,0.0,187.5,371.5,25.0,0.7296604141681519,113.81191099457924,2.50001678393034
2021-06-01 09:04:40+02:00,,,,,,,,,,,,,
2021-06-01 09:04:45+02:00,0.040000000000000924,0.33884297520661155,200.0,405.0,-0.33884297520661155,100.0,0.0,250.0,749.0,100.0,0.0,0.0,0.0
2021-06-01 09:04:50+02:00,,,,,,,,,,,,,
2021-06-01 09:04:55+02:00,,,,,,,,,,,,,
2021-06-01 09:05:00+02:00,,,,,,,,,,,,,
2021-06-01 09:05:05+02:00,,,,,,,,,,,,,
2021-06-01 09:05:10+02:00,0.040000000000000924,0.3640699523052464,200.0,429.0,-0.3640699523052464,100.0,0.0,250.0,835.0,100.0,0.0744503470471907,0.0009139546807707725,0.0
2021-06-01 09:05:15+02:00,,,,,,,,,,,,,
2021-06-01 09:05:20+02:00,,,,,,,,,,,,,
2021-06-01 09:05:25+02:00,,,,,,,,,,,,,
2021-06-01 09:05:30+02:00,,,,,,,,,,,,,
2021-06-01 09:05:35+02:00,,,,,,,,,,,,,
2021-06-01 09:05:40+02:00,,,,,,,,,,,,,
2021-06-01 09:05:45+02:00,,,,,,,,,,,,,
2021-06-01 09:05:50+02:00,,,,,,,,,,,,,
2021-06-01 09:05:55+02:00,,,,,,,,,,,,,
2021-06-01 09:06:00+02:00,,,,,,,,,,,,,
2021-06-01 09:06:05+02:00,,,,,,,,,,,,,
2021-06-01 09:06:10+02:00,,,,,,,,,,,,,
2021-06-01 09:06:15+02:00,,,,,,,,,,,,,
2021-06-01 09:06:20+02:00,,,,,,,,,,,,,
2021-06-01 09:06:25+02:00,,,,,,,,,,,,,
2021-06-01 09:06:30+02:00,,,,,,,,,,,,,
2021-06-01 09:06:35+02:00,,,,,,,,,,,,,
2021-06-01 09:06:40+02:00,,,,,,,,,,,,,
2021-06-01 09:06:45+02:00,,,,,,,,,,,,,
2021-06-01 09:06:50+02:00,,,,,,,,,,,,,
2021-06-01 09:06:55+02:00,,,,,,,,,,,,,
2021-06-01 09:07:00+02:00,,,,,,,,,,,,,
2021-06-01 09:07:05+02:00,0.040000000000000924,0.3640699523052464,200.0,429.0,-0.3640699523052464,100.0,0.0,250.0,1249.0,100.0,0.0,0.0,0.0
2021-06-01 09:07:10+02:00,,,,,,,,,,,,,
2021-06-01 09:07:15+02:00,,,,,,,,,,,,,
2021-06-01 09:07:20+02:00,,,,,,,,,,,,,
2021-06-01 09:07:25+02:00,,,,,,,,,,,,,
2021-06-01 09:07:30+02:00,,,,,,,,,,,,,
2021-06-01 09:07:35+02:00,0.040000000000000924,0.3640699523052464,200.0,429.0,-0.3640699523052464,100.0,0.0,250.0,1687.0,100.0,0.0,0.0,0.0
2021-06-01 09:07:40+02:00,,,,,,,,,,,,,
2021-06-01 09:07:45+02:00,,,,,,,,,,,,,
2021-06-01 09:07:50+02:00,,,,,,,,,,,,,
2021-06-01 09:07:55+02:00,,,,,,,,,,,,,
2021-06-01 09:08:00+02:00,,,,,,,,,,,,,
2021-06-01 09:08:05+02:00,,,,,,,,,,,,,
2021-06-01 09:08:10+02:00,0.040000000000000924,0.351456463755929,200.0,417.0,-0.351456463755929,100.0,24.0,250.0,1699.0,100.0,0.07187095648220088,1.0514627174698614,0.0
2021-06-01 09:08:15+02:00,,,,,,,,,,,,,
2021-06-01 09:08:20+02:00,,,,,,,,,,,,,
2021-06-01 09:08:25+02:00,,,,,,,,,,,,,
2021-06-01 09:08:30+02:00,,,,,,,,,,,,,
2021-06-01 09:08:35+02:00,,,,,,,,,,,,,
2021-06-01 09:08:40+02:00,0.040000000000000924,0.4019607843137255,183.0,429.0,-0.4019607843137255,117.0,24.0,250.0,1711.0,100.0,0.10407569141193602,0.0012402485027815486,0.0
2021-06-01 09:08:45+02:00,,,,,,,,,,,,,
2021-06-01 09:08:50+02:00,,,,,,,,,,,,,
2021-06-01 09:08:55+02:00,,,,,,,,,,,,,
2021-06-01 09:09:00+02:00,,,,,,,,,,,,,
2021-06-01 09:09:05+02:00,,,,,,,,,,,,,
2021-06-01 09:09:10+02:00,,,,,,,,,,,,,
2021-06-01 09:09:15+02:00,,,,,,,,,,,,,
2021-06-01 09:09:20+02:00,,,,,,,,,,,,,
2021-06-01 09:09:25+02:00,,,,,,,,,,,,,
2021-06-01 09:09:30+02:00,0.040000000000000924,0.4019607843137255,183.0,429.0,-0.4019607843137255,117.0,24.0,250.0,2085.5,100.0,0.0,0.0,0.0
2021-06-01 09:09:35+02:00,,,,,,,,,,,,,
2021-06-01 09:09:40+02:00,,,,,,,,,,,,,
2021-06-01 09:09:45+02:00,,,,,,,,,,,,,
2021-06-01 09:09:50+02:00,,,,,,,,,,,,,
2021-06-01 09:09:55+02:00,,,,,,,,,,,,,
2021-06-01 09:10:00+02:00,,,,,,,,,,,,,
2021-06-01 09:10:05+02:00,,,,,,,,,,,,,
2021-06-01 09:10:10+02:00,,,,,,,,,,,,,
2021-06-01 09:10:15+02:00,,,,,,,,,,,,,
2021-06-01 09:10:20+02:00,,,,,,,,,,,,,
2021-06-01 09:10:25+02:00,,,,,,,,,,,,,
2021-06-01 09:10:30+02:00,,,,,,,,,,,,,
2021-06-01 09:10:35+02:00,,,,,,,,,,,,,
2021-06-01 09:10:40+02:00,,,,,,,,,,,,,
2021-06-01 09:10:45+02:00,,,,,,,,,,,,,
2021-06-01 09:10:50+02:00,,,,,,,,,,,,,
2021-06-01 09:10:55+02:00,,,,,,,,,,,,,
2021-06-01 09:11:00+02:00,,,,,,,,,,,,,
2021-06-01 09:11:05+02:00,,,,,,,,,,,,,
2021-06-01 09:11:10+02:00,,,,,,,,,,,,,
2021-06-01 09:11:15+02:00,,,,,,,,,,,,,
2021-06-01 09:11:20+02:00,,,,,,,,,,,,,
2021-06-01 09:11:25+02:00,,,,,,,,,,,,,
